uri,name,iso_nn6_nc2_1,iso_nn6_nc2_2,se_nn6_nc2_1,se_nn6_nc2_2,km_nn6_nc2,iso_nn9_nc3_1,iso_nn9_nc3_2,iso_nn9_nc3_3,se_nn9_nc3_1,se_nn9_nc3_2,se_nn9_nc3_3,km_nn9_nc3
spotify:artist:07xwCifj3iE7F6fYHin4TU,Black Oak Arkansas,-1.182982456,-1.549432747,-0.011828173,0.000722936,0,-0.98531739,-0.943525336,-0.543147466,-0.011828173,0.000722936,-0.003648781,0
spotify:artist:085pc2PYOi8bGKj0PNjekA,will.i.am,3.168073633,0.657961936,0.023153487,-0.016267906,0,0.227395712,0.27688243,0.309276128,0.023153487,-0.016267906,0.019709206,0
spotify:artist:08DLZqQd6XDAVteF9nSEJ1,Paula Cole,-1.62208099,-1.357611897,-0.013081349,0.00158891,0,-0.800604271,-0.292709014,-1.394967976,-0.013081349,0.00158891,0.053172767,0
spotify:artist:08avsqaGIlK2x3i2Cu7rKH,Keith Richards,-0.233539771,-0.070475314,-0.011934571,0.000746194,0,0.205653495,0.269066169,-0.0015479,-0.011934571,0.000746194,-0.00370205,0
spotify:artist:08p7B5OtcUuVblvkQIlBhJ,Tyrese,1.067559463,0.3602181,0.018864002,-0.004399151,2,0.104630575,-1.709063906,4.655129375,0.018864002,-0.004399151,-0.003136373,2
spotify:artist:08rMCq2ek1YjdDBsCPVH2s,Amerie,0.577381766,-0.701532952,0.019869693,-0.006617615,5,-1.629116989,-1.683761276,1.999470714,0.019869693,-0.006617615,0.000424729,5
spotify:artist:09hNSPPOxDop4FRdr6UEnq,Dokken,-3.03223899,-4.940546306,-0.012117156,0.000787167,3,-3.669441676,8.850808318,1.182783048,-0.012117156,0.000787167,-0.004348807,3
spotify:artist:0AiTwNtYX8m4uhfU7rJ8RD,Ani DiFranco,-0.387921708,0.141610243,-0.013157167,0.001615896,0,0.139794193,0.273047083,-0.137238952,-0.013157167,0.001615896,0.05422941,0
spotify:artist:0AunegKKH2ys98aLxq8G1A,Avant,1.296214093,0.604151844,0.018849822,-0.004345838,5,-0.41268422,-0.435499491,1.276279965,0.018849822,-0.004345838,-0.003256363,5
spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,10.37706645,2.402863631,0.025776027,-0.024714461,0,-0.139260429,0.017260112,-0.183953707,0.025776027,-0.024714461,0.037584757,0
spotify:artist:0CMVsLgjlp9Tk02TikMAQK,The Elgins,-0.00918149,0.236766272,0.010829536,-0.005571971,0,0.221578755,0.255560634,0.171025283,0.010829536,-0.005571971,-0.015949539,0
spotify:artist:0DW7boyjvbaSP3OJ72sXgC,Al Stewart,0.85108712,-1.499617302,-0.011677806,0.000699225,0,-0.06994945,0.136767377,0.34044257,-0.011677806,0.000699225,-0.002496935,0
spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,Eagles,0.178842481,-0.379199675,-0.011699789,0.0006951,0,-0.062997216,0.083505623,0.390199162,-0.011699789,0.0006951,-0.003481489,0
spotify:artist:0EVUivUkugMtNF09L4QBMH,Hi-Five,-3.923712062,4.106802313,0.018436862,-0.003747955,6,6.408384779,-1.073645481,6.66759964,0.018436862,-0.003747955,-0.003698126,6
spotify:artist:0FFuvdY7fuiuTmHN9unYoz,Paul Carrack,-0.698465912,-0.184289273,-0.010789491,0.000495778,0,-0.236008056,-0.195063405,-0.351962917,-0.010789491,0.000495778,-0.002919037,0
spotify:artist:0FrpdcVlJQqibaz5HfBUrL,Rick James,1.305747849,0.573282732,0.011515358,-0.005411851,0,-0.741490615,-0.106267109,0.498322471,0.011515358,-0.005411851,-0.014860285,0
spotify:artist:0G7OYsWptjRzVFT1AxP8TS,Levert,-0.62300338,0.924655275,0.017181285,-0.004026832,5,2.126077471,-0.365665311,1.932039189,0.017181285,-0.004026832,-0.005904238,5
spotify:artist:0GByy3DcfbQwDvXGCWmzv9,Pretenders,-0.675085872,-0.342018292,-0.011302502,0.000604617,0,-0.042059195,0.461170864,0.064201611,-0.011302502,0.000604617,-0.003371031,0
spotify:artist:0GLvcqWIueXNjv3212pJAj,Cactus,-0.910869573,-0.975945164,-0.011861869,0.000730269,0,-0.688526502,-0.600391424,-0.33325334,-0.011861869,0.000730269,-0.003657988,0
spotify:artist:0I7UnRLIdCD310ZBgeuqh5,JD Souther,0.972028882,-0.694492377,-0.01165458,0.000691448,0,-0.52744794,-0.773626279,-0.740928104,-0.01165458,0.000691448,-0.002762686,0
spotify:artist:0J2Ej2rMQyqaUX3G6MUISw,Ambrosia,1.061626361,-2.373027537,-0.011538726,0.000665252,4,-1.55009804,-2.058615309,-1.574546369,-0.011538726,0.000665252,-0.002830921,4
spotify:artist:0K7VN4aHxHcEb7PqkfoIVA,Shawn Colvin,-1.575068865,-1.289190762,-0.013167581,0.001618144,0,-0.748864319,-0.252031295,-1.097834508,-0.013167581,0.001618144,0.054236619,0
