,node_artist,edge_artist,followers,genres,popularity,_type,edge_uri
181,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Captain & Tennille,385999,adult standards; brill building pop; bubblegum pop; country rock; disco; folk rock; mellow gold; quiet storm; singer-songwriter; soft rock; yacht rock,56,artist,spotify:artist:7BEfMxbaqx6dOpbtlEqScm
182,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Rita Coolidge,197073,adult standards; brill building pop; bubblegum pop; folk rock; mellow gold; native american; singer-songwriter; soft rock,53,artist,spotify:artist:1vnIL4DMlivP55ioM6KitW
183,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Dan Fogelberg,640982,adult standards; classic rock; country rock; folk; folk rock; mellow gold; singer-songwriter; soft rock; yacht rock,54,artist,spotify:artist:0cA5Tg15TwARIRZeiNT1RO
184,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Helen Reddy,278988,adult standards; brill building pop; bubblegum pop; classic uk pop; folk rock; mellow gold; singer-songwriter; soft rock,50,artist,spotify:artist:0Sq7oGrYEe0BDmb13wgjOO
185,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Carole King,1270944,adult standards; brill building pop; classic rock; folk; folk rock; mellow gold; rock; singer-songwriter; soft rock,62,artist,spotify:artist:319yZVtYM9MBGqmSQnMyY6
186,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Melissa Manchester,184986,adult standards; bubblegum pop; mellow gold; soft rock; yacht rock,45,artist,spotify:artist:78udmCDNaDu5jqfVnBqwia
187,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Seals and Crofts,602467,adult standards; album rock; bubblegum pop; classic rock; country rock; folk rock; mellow gold; singer-songwriter; soft rock; yacht rock,56,artist,spotify:artist:6jdObwsrIjSRnBbMw6lPBj
188,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Loggins & Messina,406533,album rock; classic rock; country rock; folk; folk rock; mellow gold; soft rock,53,artist,spotify:artist:7emRV8AluG3d4e5T0DZiK9
189,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Leo Sayer,459122,adult standards; brill building pop; bubblegum pop; classic rock; classic uk pop; country rock; disco; folk rock; mellow gold; singer-songwriter; soft rock,58,artist,spotify:artist:04LIHk1SobiQwt2tlupoAV
190,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Stephen Bishop,210590,adult standards; country rock; folk rock; mellow gold; singer-songwriter; soft rock; yacht rock,52,artist,spotify:artist:3JhRHqCi8HEzkJVWt19LtN
