Chaka Khan,63,1391256,spotify:artist:6mQfAAqZGBzIfrmlZCeaYT
Chamillionaire,59,758150,spotify:artist:6vdMPayKk8YJxxeNP5oMCb
Changing Faces,41,497962,spotify:artist:3lJ6jvOiNY46L2juqXufpf
Charley Pride,53,489002,spotify:artist:69Fk1s1lzINOKqoSWjjEiE
Charlie Puth,84,17722382,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7
Charlie Rich,51,185136,spotify:artist:218kRJZ7FJs0hWIk8Ynzhz
Charlie Zaa,55,159734,spotify:artist:1KfBKoozFugeT1PBkz33xl
Charlotte Church,38,32305,spotify:artist:3P9jdZehQvmAoTrWU1p5zt
Cheap Trick,62,1234584,spotify:artist:1LB8qB5BPb3MHQrfkvifXU
Cheech & Chong,29,50672,spotify:artist:0TorzrcTerTn7l5q9LVjmt
Cher,68,2685660,spotify:artist:72OaDtakiy6yFqkt4TsiFt
Cherry Poppin' Daddies,36,48183,spotify:artist:1stGNsBocVFM9MfQtySETw
Chevelle,63,1588523,spotify:artist:56dO9zeHKuU5Gvfc2kxHNw
Chicago,68,3247267,spotify:artist:3iDD7bnsjL9J4fO298r0L0
Childish Gambino,79,9864699,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL
Chingy,60,826282,spotify:artist:3s2wTjWxK8NOX09dmsvVOh
Chris Botti,52,133747,spotify:artist:3eFo5fMv53RYZBYlvT5Z6a
Chris Brown,88,17088255,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Chris Cagle,55,842629,spotify:artist:1zhIzONVRlTfD1VQRauHMl
Chris Isaak,63,357317,spotify:artist:7290H8m1Dwt8G7jm1y9CQx
Chris LeDoux,54,437269,spotify:artist:4K3DSWzghkGUcQOEZG9gpo
Chris Stapleton,77,4880648,spotify:artist:4YLtscXsxbVgi031ovDDdh
Chris Tomlin,66,1649987,spotify:artist:6pRi6EIPXz4QJEOEsBaA0m
Chris Young,67,2640100,spotify:artist:4BYxqVkZyFjtik7crYLg5Q
Christina Aguilera,77,7154186,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
Christina Perri,71,3384049,spotify:artist:7H55rcKCfwqkyDFH9wpKM6
Christopher Cross,62,819325,spotify:artist:695W5F2Ih8dYahLdjVOIoH
Chuck Mangione,44,82485,spotify:artist:2MMaIlHd8UvDW0mVRAncD6
Chumbawamba,55,87522,spotify:artist:0TcYeHEK9sBtv7xPbKhzHz
Ciara,69,5843335,spotify:artist:2NdeV5rLm47xAvogXrYhJX
Cinderella,58,1442529,spotify:artist:7HL4id2U7FSDJtfKQHMgQx
Clannad,48,151073,spotify:artist:0BkAYxgwF9VQiid4wI07yJ
Clay Aiken,34,56587,spotify:artist:13aBWT8LN4oNWWGFOu96MA
Clay Walker,58,1072306,spotify:artist:4MPkNgar5uTd8Sqvrr7par
Clean Bandit,75,4927660,spotify:artist:6MDME20pz9RveH9rEXvrOM
Clint Black,57,855610,spotify:artist:3Ay15wt0QChT4Kapsuw5Jt
Club Nouveau,41,143757,spotify:artist:4kEAjV4pCBOkoowYYQydvO
C-Murder,45,438416,spotify:artist:4135eJjHCRw5SuVzLfzR0x
Coheed and Cambria,61,595590,spotify:artist:3utxjLheHaVEd9bPjQRsy8
Colbie Caillat,68,2394700,spotify:artist:6aZyMrc4doVtZyKNilOmwu
Coldplay,89,38901384,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Cole Swindell,70,1898451,spotify:artist:1mfDfLsMxYcOOZkzBxvSVW
Collective Soul,61,939483,spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6
Collin Raye,52,420501,spotify:artist:4AwLiAGc1rRLrCepj5rdTI
Color Me Badd,50,446457,spotify:artist:1QtIfAa6y7w2JhxYJhYeUG
Commodores,64,1562697,spotify:artist:6twIAGnYuIT1pncMAsXnEm
Common,62,836767,spotify:artist:2GHclqNVjqGuiE5mA7BEoc
Con Funk Shun,44,327458,spotify:artist:2hUkfSXyuDfQbUeNOShRiz
Confederate Railroad,47,362423,spotify:artist:1YPIe9qIMa99O0a0OW47Be
Conjunto Primavera,70,2182074,spotify:artist:3nFB4eMP5gdqee2eQb8nZb
Conway Twitty,60,725269,spotify:artist:7gi3jmwpUpNWdswT8eEprF
Coolio,72,747151,spotify:artist:3y24n3XhZ96wgwRXjvS17T
Corey Hart,53,240418,spotify:artist:0smy8yDrRoI4CnhpOuthg0
