Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond,Standard
JUVENILE,7,5,3,1,0,All types
LOGGINS & MESSINA,7,7,5,1,0,Standard
MILES DAVIS,7,3,3,1,0,Standard
MISSY ELLIOTT,7,6,6,1,0,All types
MONICA,7,4,2,2,0,Standard
O'JAYS,7,10,4,0,0,Standard
P. DIDDY & THE FAMILY,7,1,1,1,0,Standard
PANTERA,7,7,5,1,0,Standard
QUIET RIOT,7,2,2,1,0,Standard
RADIOHEAD,7,8,4,1,0,Standard
RICKY VAN SHELTON,7,9,5,0,0,Standard
SELENA,7,5,3,2,0,All types
SHAKIRA,7,5,5,1,0,All types
SKID ROW,7,2,2,2,0,Standard
SUPERTRAMP,7,6,2,1,0,Standard
T.I.,7,7,5,1,0,All types
THE BLACK EYED PEAS,7,3,3,3,0,All types
THIRD EYE BLIND,7,2,2,1,0,Standard
TRACY LAWRENCE,7,6,4,2,0,Standard
TRAIN,7,5,5,1,0,All types
XXXTENTACION,7,4,2,2,0,All types
ALISON KRAUSS,6.5,7,2,2,0,Standard
B-52'S,6.5,5,2,1,0,Standard
BILLY IDOL,6.5,6,5,1,0,Standard
BING CROSBY,6.5,3,2,2,0,Standard
CEDARMONT KIDS,6.5,8,5,0,0,All types
ENGELBERT HUMPERDINCK,6.5,10,1,1,0,Standard
ERYKAH BADU,6.5,4,3,2,0,Standard
EURYTHMICS,6.5,6,3,1,0,Standard
GLORIA ESTEFAN & MIAMI SOUND,6.5,3,2,2,0,Standard
H. ALPERT & THE TIJUANA BRASS,6.5,13,0,0,0,Standard
INDIGO GIRLS,6.5,7,4,1,0,Standard
IRON MAIDEN,6.5,8,5,0,0,Standard
JESSICA SIMPSON,6.5,5,2,2,0,All types
LONESTAR,6.5,6,3,1,0,All types
LORRIE MORGAN,6.5,7,4,1,0,Standard
MARVIN GAYE,6.5,6,3,1,0,All types
MEGADETH,6.5,6,5,1,0,All types
MERCYME,6.5,8,1,1,0,All types
MILLI VANILLI,6.5,2,1,1,0,Standard
MY CHEMICAL ROMANCE,6.5,3,2,2,0,All types
NATALIE MERCHANT,6.5,3,2,1,0,Standard
OAK RIDGE BOYS,6.5,8,3,1,0,Standard
ROBERT PLANT,6.5,6,3,1,0,Standard
TESLA,6.5,6,5,1,0,Standard
WEEZER,6.5,5,4,1,0,All types
AL GREEN,6,8,2,1,0,All types
BECK,6,8,2,1,0,All types
BILLY OCEAN,6,4,4,2,0,Standard
BILLY SQUIER,6,3,3,2,0,Standard
BUSTA RHYMES,6,7,5,0,0,All types
CULTURE CLUB,6,3,3,1,0,Standard
DIDO,6,2,2,2,0,All types
FALL OUT BOY,6,6,4,1,0,All types
FOGHAT,6,8,2,1,0,Standard
GORDON LIGHTFOOT,6,7,3,1,0,Standard
GRETCHEN WILSON,6,2,2,1,0,All types
GWEN STEFANI,6,2,2,1,0,All types
HALSEY,6,3,3,3,0,All types
HELEN REDDY,6,8,2,1,0,Standard
HILARY DUFF,6,5,3,1,0,All types
INCUBUS,6,5,3,2,0,Standard
JODECI,6,3,3,2,0,Standard
JOHN LEGEND,6,4,4,2,0,All types
KHALID,6,2,2,2,0,All types
LIL BABY,6,4,2,1,0,All types
MUMFORD & SONS,6,3,3,2,0,All types
OASIS,6,3,3,1,0,All types
PARAMORE,6,5,3,1,0,All types
PATTY LOVELESS,6,8,4,0,0,Standard
PITBULL,6,5,3,2,0,All types
POINTER SISTERS,6,6,2,1,0,Standard
QUEENSRYCHE,6,5,3,1,0,Standard
ROBERTA FLACK,6,7,3,1,0,Standard
RONNIE MILSAP,6,8,2,1,0,Standard
RUN-D.M.C.,6,5,3,1,0,All types
SEAL,6,4,2,1,0,All types
SEALS & CROFTS,6,6,2,2,0,Standard
