,Artist ,Certified Units ,,,,
(In Millions),Gold ®,Platinum ®,Multi-Platinum ™,Diamond ®,Type ,
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DE BARGE,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DE LA SOUL,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEBORAH COX,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DEVO,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DJ SNAKE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DONALD FAGEN,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DONELL JONES,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DONOVAN,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EDWIN MC CAIN,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ELVIS CRESPO,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ERASURE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EVE 6,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FAITH NO MORE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FANTASIA,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FAT JOE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FORT MINOR,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FOURPLAY,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FRANK OCEAN,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FRANZ FERDINAND,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FUNKADELIC,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FUNKMASTER FLEX,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GARY PUCKETT & THE UNION GAP,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GAVIN DEGRAW,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GENIUS/GZA,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GERRY RAFFERTY,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GHOSTFACE KILLAH,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GOODIE MOB,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GUESS WHO,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
H-TOWN,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HALESTORM,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HERB ALPERT,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HOLLYWOOD UNDEAD,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HOUSE OF PAIN,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ISRAEL KAMAKAWIWO'OLE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JACKIE EVANCHO,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JACKYL,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JADE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAKE OWEN,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMES GANG,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMEY JOHNSON,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAZMINE SULLIVAN,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEFF HEALEY BAND,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEFFREY OSBORNE,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JERRY CLOWER,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIM JOHNSTON,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIM NABORS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIMMY EAT WORLD,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIMMY PAGE & ROBERT PLANT,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JODY WATLEY,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOE COCKER,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOE NICHOLS,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHNNY PAYCHECK,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHNNY RIVERS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOJI,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOJO,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JON B.,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JON PARDI,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOSE FELICIANO,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JULIAN LENNON,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KARYN WHITE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KEANE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENNY ROGERS & DOTTIE WEST,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KILLSWITCH ENGAGE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KOOL MOE DEE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KYLIE MINOGUE,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LARRY GATLIN,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEONARD COHEN,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL PEEP,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL SKIES,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL TJAY,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LILA MC CANN,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LINDSAY LOHAN,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LISA STANSFIELD,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIZ PHAIR,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOVE UNLIMITED,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LUCIANO PAVAROTTI,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LYNN ANDERSON,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MACK 10,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MANHATTAN TRANSFER,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARCO ANTONIO SOLIS Y LOS BUKIS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MAREN MORRIS,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARIO,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARK WILLS,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARVIN SAPP,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICK JAGGER,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MIDNIGHT OIL,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MILLIE JACKSON,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MO THUGS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MONEYBAGG YO,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MOUNTAIN,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MUDVAYNE,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NICKEL CREEK,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OL' DIRTY BASTARD,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OLD DOMINION,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ORGY,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OUR LADY PEACE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PARTYNEXTDOOR,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PAT METHENY GROUP,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PEABO BRYSON,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PEACHES & HERB,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PEBBLES,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PERCY FAITH,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PETE TOWNSHEND,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PETER TOSH,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PIXIES,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
R. CARLOS NAKAI,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAEKWON,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RANCID,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
READY FOR THE WORLD,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RELIENT K,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RINGO STARR,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RITA COOLIDGE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROGER MILLER,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROSANNE CASH,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROSIE O'DONNELL,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROYAL PHILHARMONIC ORCHESTRA,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RUBEN STUDDARD,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RUFUS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RUSTED ROOT,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
S.O.S. BAND,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SALIVA,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SAMANTHA FOX,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SAWYER BROWN,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SCHOOLBOY Q,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SELENA GOMEZ & THE SCENE,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEVENDUST,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHALAMAR,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHAQUILLE O'NEAL,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHEDAISY,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHEKINAH GLORY MINISTRY,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHENANDOAH,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SIA,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SLICK RICK,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SMOTHERS BROTHERS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SNOOP DOGG PRESENTS THA EASTSIDAZ,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SNOW PATROL,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SONNY & CHER,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SPICE 1,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SQUIRREL NUT ZIPPERS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STARSHIP,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STATIC-X,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEPHEN STILLS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVE WARINER,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVIE B.,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STONE SOUR,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STRAY CATS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SURFACE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUZANNE VEGA,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TAKE 6,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TAKING BACK SUNDAY,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TAMMY WYNETTE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE 1975,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BAND PERRY,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BELLAMY BROTHERS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BOYS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE FIXX,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE JETS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE LOX,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE MANHATTANS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE MAVERICKS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE NEIGHBOURHOOD,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE OUTLAWS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE SHINS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE SMITHS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE STYLISTICS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE VENTURES,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THOMPSON TWINS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOM WAITS,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOTAL,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TYPE O NEGATIVE,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VAN CLIBURN,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VANCE JOY,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VERN GOSDIN,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VIOLENT FEMMES,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
VONDA SHEPARD,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WALE,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WARREN ZEVON,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WESTSIDE CONNECTION,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YELLOWCARD,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YNW MELLY,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YO GOTTI,1.5,3,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
YOUNG M.C.,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZAPP,1.5,3,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZAYN,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZEDD,1.5,2,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ZIGGY MARLEY & MELODY MAKERS,1.5,2,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
2 PAC & OUTLAWZ,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
3LW,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
3RD BASS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
4 NON BLONDES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
69 BOYZ,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A DAY TO REMEMBER,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A TASTE OF HONEY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A-HA,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A.B. Y LOS KUMBIA KINGS QUINTANILLA III,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A$AP FERG,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AARON HALL,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ACE FREHLEY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AKWID,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALANNAH MYLES,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALESSIA CARA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALEXANDER O'NEAL,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALIEN ANT FARM,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALL SAINTS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALL TIME LOW,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALT-J,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AMERICAN IDOLS,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AMERIE,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANGIE STONE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANNE-MARIE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANOTHER BAD CREATION,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ARCADE FIRE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ARCADIA,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ATREYU,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AUGUST ALSINA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AVA MAX,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AVALON,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AVICII,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AWOLNATION,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AZ YET,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BAD ENGLISH,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BANDA EL RECODO,1,2,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BARBARA MANDRELL,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BASTILLE,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BAZZI,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BEBE REXHA,1,1,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BEN FOLDS FIVE,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BENNY BLANCO,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BETTER THAN EZRA,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BIG BAD VOODOO DADDY,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BIG DADDY KANE,1,2,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BIG HEAD TODD & THE MONSTERS,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILL WHELAN,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLACK ROB,1,1,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
